City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Rikitea,-23.1203,-134.9692,25.63,72,100,3.12,PF,1619487006
Yellowknife,62.456,-114.3525,-13.0,52,20,6.17,CA,1619486807
Aykhal,66.0,111.5,-10.54,89,99,6.39,RU,1619487006
Mulchén,-37.7167,-72.2333,10.54,70,3,1.62,CL,1619487006
Winston,28.0317,-82.0148,24.0,60,1,2.57,US,1619487006
Kapaa,22.0752,-159.319,25.0,69,1,4.12,US,1619487007
Kyzyl-Suu,42.3414,78.0056,11.22,37,10,1.46,KG,1619487007
Dano,11.15,-3.0667,30.3,40,83,3.95,BF,1619487007
Albany,42.6001,-73.9662,7.78,30,9,4.92,US,1619487007
Leh,34.1667,77.5833,1.8,34,0,1.28,IN,1619487007
Abu Dhabi,24.4667,54.3667,30.0,28,0,1.03,AE,1619486933
Norman Wells,65.282,-126.8329,-7.0,35,75,2.06,CA,1619487007
Dikson,73.5069,80.5464,-0.12,98,100,7.81,RU,1619487007
Pierre,44.3683,-100.351,13.33,67,1,6.69,US,1619487008
Cape Town,-33.9258,18.4232,17.78,94,75,5.66,ZA,1619486714
Geraldton,-28.7667,114.6,22.0,40,25,2.06,AU,1619487008
Punta Arenas,-53.15,-70.9167,6.0,100,90,3.09,CL,1619487008
Kaitangata,-46.2817,169.8464,10.56,70,99,1.79,NZ,1619487008
Belmonte,-15.8631,-38.8828,24.0,78,0,2.57,BR,1619487008
Laguna,38.421,-121.4238,18.89,25,1,2.06,US,1619487008
Vaini,-21.2,-175.2,24.0,100,90,2.06,TO,1619487009
Tepalcatepec,19.1833,-102.85,31.22,25,100,3.31,MX,1619487009
Heze,35.2431,115.4411,20.45,30,86,5.92,CN,1619486853
Lompoc,34.6391,-120.4579,14.0,62,0,7.72,US,1619487009
Mishkino,55.3389,63.9175,6.39,59,11,2.76,RU,1619487009
The Pas,53.8251,-101.2541,12.0,37,20,5.66,CA,1619487009
Vizinga,61.0749,50.1031,3.04,97,100,2.65,RU,1619487009
Neuquén,-38.9516,-68.0591,13.0,94,0,1.35,AR,1619487009
Nha Trang,12.25,109.1833,31.0,66,20,0.51,VN,1619486959
Adrar,20.5022,-10.0711,26.58,21,8,5.06,MR,1619487010
Kahului,20.8947,-156.47,28.0,57,40,2.57,US,1619487010
Hobart,-42.8794,147.3294,17.78,55,20,3.09,AU,1619487008
Plouzané,48.3833,-4.6167,7.0,87,0,4.12,FR,1619487010
Jamestown,42.097,-79.2353,8.33,42,75,5.14,US,1619487010
Miandrivazo,-19.5167,45.4667,23.26,83,97,1.78,MG,1619487010
Arrondissement de Cambrai,50.1667,3.4167,6.0,75,0,4.12,FR,1619487010
Ushuaia,-54.8,-68.3,6.0,87,75,2.06,AR,1619487010
Capinota,-17.7167,-66.2333,17.0,51,2,7.72,BO,1619487011
São Filipe,14.8961,-24.4956,22.34,75,95,3.52,CV,1619486843
Faya,18.3851,42.4509,14.0,87,0,1.13,SA,1619487011
Río Gallegos,-51.6226,-69.2181,10.0,62,0,3.6,AR,1619487011
Chui,-33.6971,-53.4616,11.93,81,0,3.3,UY,1619487011
Coruripe,-10.1256,-36.1756,24.93,85,3,2.27,BR,1619487011
Isangel,-19.55,169.2667,28.0,65,40,4.12,VU,1619487011
Rio Grande,-32.035,-52.0986,10.56,93,2,5.33,BR,1619487011
Busselton,-33.65,115.3333,20.0,81,27,0.45,AU,1619486769
Fortuna,40.5982,-124.1573,13.33,62,1,5.14,US,1619487012
Lagoa,39.05,-27.9833,15.15,89,100,6.12,PT,1619487012
Bethel,41.3712,-73.414,11.0,30,1,3.09,US,1619486838
Virden,39.5009,-89.7679,21.11,66,100,7.15,US,1619487012
Abu Samrah,35.3029,37.1841,13.96,83,0,5.2,SY,1619487012
Antofagasta,-23.65,-70.4,16.0,72,0,1.54,CL,1619487012
Pevek,69.7008,170.3133,-3.3,93,100,1.85,RU,1619487012
Hermanus,-34.4187,19.2345,16.67,87,98,1.19,ZA,1619487012
Aklavik,68.2191,-135.0107,-5.0,42,87,4.12,CA,1619487013
Puerto Ayora,-0.7393,-90.3518,23.89,90,37,2.22,EC,1619487013
Mar del Plata,-38.0023,-57.5575,10.56,93,0,0.7,AR,1619487013
Sioux Lookout,50.1001,-91.917,2.0,75,90,4.12,CA,1619487013
Mataura,-46.1927,168.8643,8.89,64,82,4.47,NZ,1619487013
Vardø,70.3705,31.1107,0.54,57,98,7.21,NO,1619487013
Socorro,31.6546,-106.3033,28.0,4,75,10.29,US,1619487013
Kavieng,-2.5744,150.7967,28.65,70,51,1.63,PG,1619487013
Ponta do Sol,32.6667,-17.1,15.0,78,68,0.89,PT,1619487014
Haverfordwest,51.8017,-4.9691,8.33,94,85,0.45,GB,1619486996
Charlottetown,46.2352,-63.1267,6.67,100,90,3.6,CA,1619487014
Jutaí,-5.1833,-68.9,22.86,98,97,1.37,BR,1619487014
Bredasdorp,-34.5322,20.0403,13.0,88,98,1.55,ZA,1619487015
Castro,-24.7911,-50.0119,13.52,91,2,1.35,BR,1619487015
Qaanaaq,77.484,-69.3632,2.0,69,100,3.27,GL,1619487015
Cidreira,-30.1811,-50.2056,16.79,78,1,4.29,BR,1619487015
Smolenka,52.1352,113.4974,3.0,38,40,9.0,RU,1619487015
Butaritari,3.0707,172.7902,28.11,76,76,4.85,KI,1619487015
Hilo,19.7297,-155.09,27.0,57,20,4.12,US,1619487015
Kamyzyak,46.11,48.0736,9.0,87,75,2.0,RU,1619487015
Turan,16.0678,108.2208,29.0,79,40,1.03,VN,1619487007
Bagé,-31.3314,-54.1069,12.0,71,75,2.06,BR,1619487016
Itarema,-2.9248,-39.9167,25.47,81,90,4.05,BR,1619487016
Thompson,55.7435,-97.8558,8.0,53,40,6.17,CA,1619487016
Sitka,57.0531,-135.33,11.0,66,75,3.09,US,1619487016
Hashtrūd,37.4779,47.0508,12.86,57,100,1.12,IR,1619487016
Norden,53.6,7.2,5.56,92,99,1.79,DE,1619487016
Lavrentiya,65.5833,-171.0,0.71,92,10,0.27,RU,1619487017
Ouallam,14.3188,2.0866,31.64,24,96,3.12,NE,1619487017
Sri Aman,1.2376,111.4621,26.0,94,40,1.54,MY,1619487017
Kununurra,-15.7667,128.7333,30.0,48,90,4.12,AU,1619487017
Atuona,-9.8,-139.0333,26.57,75,91,6.81,PF,1619487017
Severo-Kuril'sk,50.6789,156.125,0.1,98,100,7.59,RU,1619487017
Chokurdakh,70.6333,147.9167,-2.94,83,97,1.02,RU,1619487017
Darovskoy,58.77,47.9564,-0.66,96,41,2.55,RU,1619487017
Cabras,39.93,8.5314,15.56,92,100,2.68,IT,1619487018
Saint George,37.1041,-113.5841,14.44,44,1,6.17,US,1619487018
Coquimbo,-29.9533,-71.3436,14.0,82,75,1.03,CL,1619487018
Pontal do Paraná,-25.6533,-48.5128,14.44,99,96,1.46,BR,1619487018
Iqaluit,63.7506,-68.5145,-5.0,80,90,7.72,CA,1619487018
Fort Smith,35.3859,-94.3986,24.0,46,1,4.12,US,1619487018
Kīhei,20.785,-156.4656,28.0,57,40,2.57,US,1619487018
Mehamn,71.0357,27.8492,-1.09,72,99,4.63,NO,1619487018
Alta Floresta,-9.8756,-56.0861,23.0,100,0,1.03,BR,1619487019
Hong Kong,22.2855,114.1577,23.89,87,100,6.09,HK,1619487019
Province of Mantua,45.1667,10.7833,11.11,92,100,1.34,IT,1619487019
Recodo,6.9519,121.9636,26.0,89,75,2.06,PH,1619487019
Białogard,54.007,15.9875,0.56,70,10,2.78,PL,1619487019
Nanortalik,60.1432,-45.2371,1.18,93,80,4.49,GL,1619487019
Longyearbyen,78.2186,15.6401,-8.0,67,40,7.72,SJ,1619487019
New Smyrna Beach,29.0258,-80.927,22.78,73,40,2.06,US,1619487020
Bahía Blanca,-38.7196,-62.2724,14.09,66,0,3.69,AR,1619487020
Ziro,27.6333,93.8333,18.93,43,63,1.02,IN,1619487020
Lebu,-37.6167,-73.65,11.88,88,26,4.26,CL,1619487020
Wanning,18.8003,110.3967,27.22,78,100,2.87,CN,1619487020
Hobyo,5.3505,48.5268,27.8,76,98,2.43,SO,1619487020
George Town,5.4112,100.3354,26.0,89,20,1.03,MY,1619486821
Lorengau,-2.0226,147.2712,29.79,67,29,1.4,PG,1619487020
East London,-33.0153,27.9116,19.98,77,82,3.15,ZA,1619487020
Nikolskoye,59.7035,30.7861,5.0,75,75,3.0,RU,1619487021
Saint Paul Harbor,57.79,-152.4072,6.0,87,90,7.72,US,1619487021
La Rosa,15.35,-87.0667,28.0,65,75,3.09,HN,1619487021
Guerrero Negro,27.9769,-114.0611,15.74,70,100,6.99,MX,1619487021
Lüderitz,-26.6481,15.1594,15.26,83,28,3.56,NA,1619487021
Sagua la Grande,22.8067,-80.0756,26.0,83,20,3.09,CU,1619487021
Saint-Philippe,-21.3585,55.7679,24.44,83,90,10.8,RE,1619487021
Bhādāsar,28.2833,74.3167,30.53,10,0,4.59,IN,1619487021
Barela,23.1,80.05,30.32,7,99,2.07,IN,1619487021
Girona,41.9831,2.8249,12.22,87,90,1.03,ES,1619487022
Bluff,-46.6,168.3333,8.89,64,85,4.47,NZ,1619487022
Airai,-8.9266,125.4092,22.45,39,48,0.88,TL,1619487022
Praia,14.9215,-23.5087,21.0,78,75,6.17,CV,1619487022
Necochea,-38.5473,-58.7368,10.0,92,0,1.34,AR,1619487022
Alofi,-19.0595,-169.9187,30.0,74,83,5.66,NU,1619486734
Hofn,64.2539,-15.2082,3.47,68,22,1.34,IS,1619487022
Coyhaique,-45.5752,-72.0662,11.0,87,75,3.6,CL,1619487022
Hanna,51.6334,-111.9018,14.44,16,23,2.68,CA,1619487023
Husavik,66.0449,-17.3389,-2.0,93,0,2.06,IS,1619487023
Otofuke,42.9917,143.2003,12.0,28,20,6.17,JP,1619486817
Hauterive,46.0901,3.4459,9.0,81,0,1.54,FR,1619487023
New Norfolk,-42.7826,147.0587,17.78,46,19,2.24,AU,1619487023
Provideniya,64.3833,-173.3,5.0,65,0,1.0,RU,1619487024
Mount Gambier,-37.8333,140.7667,15.0,67,75,2.57,AU,1619487024
Tasiilaq,65.6145,-37.6368,5.0,60,75,3.46,GL,1619487024
Ostrovnoy,68.0531,39.5131,-1.6,70,100,5.84,RU,1619487024
Jumla,29.2747,82.1838,14.95,35,0,0.67,NP,1619487024
Kulhudhuffushi,6.6221,73.07,29.16,70,13,3.44,MV,1619487024
Turka,49.1541,23.0297,2.78,75,100,0.83,UA,1619487025
Yerbogachën,61.2767,108.0108,-4.41,57,53,3.57,RU,1619487025
Yārāda,17.65,83.2667,27.0,89,20,1.03,IN,1619487025
Tuatapere,-46.1333,167.6833,8.89,64,95,4.47,NZ,1619487025
Stann Creek Town,16.9692,-88.2321,28.0,78,20,2.06,BZ,1619487025
Whitehorse,60.7161,-135.0538,15.0,21,40,7.2,CA,1619487025
Oistins,13.0667,-59.5333,26.0,65,20,6.17,BB,1619487025
Bairiki Village,1.3292,172.9752,31.0,70,20,3.09,KI,1619487025
Comodoro Rivadavia,-45.8667,-67.5,19.0,42,0,9.77,AR,1619487025
Wajid,3.8093,43.2471,24.56,77,89,1.78,SO,1619487026
Porbandar,21.6422,69.6093,26.0,94,0,2.57,IN,1619486795
Adelaide,-34.9333,138.6,21.67,52,0,3.6,AU,1619486972
Praia da Vitória,38.7333,-27.0667,16.0,88,75,3.22,PT,1619487026
Mahébourg,-20.4081,57.7,24.0,94,75,3.6,MU,1619487026
Wu’an,31.6836,112.0044,21.01,65,100,1.3,CN,1619487026
Grenfell,-33.9,148.1667,19.15,36,0,2.37,AU,1619487026
Mastic Beach,40.7668,-72.8521,11.67,35,1,3.09,US,1619487026
Katsuura,35.1333,140.3,17.22,55,40,3.09,JP,1619486739
Jardim,-21.4803,-56.1381,16.87,59,0,2.81,BR,1619487027
Port-Gentil,-0.7193,8.7815,27.69,79,100,2.63,GA,1619487027
Buraidah,26.326,43.975,24.0,53,20,2.06,SA,1619487027
Kumul,42.8,93.45,12.36,12,74,2.86,CN,1619487027
Henties Bay,-22.116,14.2845,15.56,89,2,1.34,NA,1619487027
Jinchang,38.4953,102.1739,6.65,20,89,4.2,CN,1619486907
Majene,-3.5403,118.9707,29.14,69,49,3.67,ID,1619487027
Vao,-22.6667,167.4833,22.74,68,8,9.02,NC,1619487027
Clyde River,70.4692,-68.5914,-4.0,100,90,1.03,CA,1619487027
Samarai,-10.6167,150.6667,28.24,73,80,4.06,PG,1619487028
Pacific Grove,36.6177,-121.9166,14.0,58,20,6.17,US,1619487028
Durusu,41.3053,28.6767,8.0,87,0,1.03,TR,1619487028
Palmer,42.1584,-72.3287,9.0,37,20,4.12,US,1619487028
Uyskoye,54.3775,60.0047,5.0,62,98,0.21,RU,1619487028
Parintins,-2.6283,-56.7358,23.35,97,100,1.2,BR,1619487028
Kutum,14.2,24.6667,22.42,14,99,4.43,SD,1619487028
Killorglin,52.1,-9.7833,7.9,92,29,2.81,IE,1619487028
Caravelas,-17.7125,-39.2481,24.19,81,54,2.98,BR,1619487028
Ballina,-28.8667,153.5667,23.0,64,40,5.66,AU,1619487029
Santiago,-33.4569,-70.6483,21.11,63,0,2.06,CL,1619487029
Maceió,-9.6658,-35.7353,24.0,88,0,1.03,BR,1619487029
Carnarvon,-24.8667,113.6333,24.0,38,0,1.54,AU,1619487020
Salamiyah,35.0113,37.0532,13.73,85,9,8.39,SY,1619487029
Bac Lieu,9.285,105.7244,29.12,70,76,2.32,VN,1619486784
Vaasa,63.096,21.6158,1.11,93,0,0.51,FI,1619487029
Lufilufi,-13.8745,-171.5986,29.0,84,75,3.6,WS,1619487029
Muhafazat Lahij,13.1667,44.5833,24.16,73,100,2.04,YE,1619487029
Carutapera,-1.195,-46.02,24.64,91,87,2.04,BR,1619487030
Porosozero,62.7191,32.727,-2.25,87,90,3.22,RU,1619487030
Barrow,71.2906,-156.7887,-6.0,79,1,7.2,US,1619487030
Talnakh,69.4865,88.3972,-8.56,78,62,4.61,RU,1619487030
Seymour,38.9592,-85.8903,20.0,45,1,1.54,US,1619487030
Port Alfred,-33.5906,26.891,19.36,86,94,7.42,ZA,1619487030
Kupang,-10.1667,123.5833,27.48,55,100,2.66,ID,1619487030
Birjand,32.8663,59.2211,18.0,17,0,3.09,IR,1619487030
Boende,-0.2167,20.8667,23.71,90,100,1.04,CD,1619487031
Araouane,18.9048,-3.5265,31.07,14,22,4.76,ML,1619487031
Cabo San Lucas,22.8909,-109.9124,23.33,68,90,7.72,MX,1619487031
Haverhill,42.7762,-71.0773,8.33,39,1,6.17,US,1619487031
San Patricio,28.017,-97.5169,23.89,88,75,6.17,US,1619487031
Bonfim,3.0833,-59.95,25.08,85,100,3.86,BR,1619487031
Micheweni,-4.9667,39.8333,25.58,86,100,4.53,TZ,1619487031
Olafsvik,64.8945,-23.7142,5.94,67,0,3.01,IS,1619487031
Moundsville,39.9203,-80.7431,13.0,44,1,3.09,US,1619487032
Camrose,53.0168,-112.8353,13.0,24,97,5.14,CA,1619487032
Padang,-0.9492,100.3543,26.0,89,75,1.54,ID,1619486817
Nantucket,41.2835,-70.0995,8.33,61,1,2.57,US,1619487032
Tuktoyaktuk,69.4541,-133.0374,-11.0,73,1,7.2,CA,1619487032
Ahipara,-35.1667,173.1667,17.71,73,77,4.52,NZ,1619487032
Bambous Virieux,-20.3428,57.7575,25.0,94,75,3.6,MU,1619487032
Mogzon,51.7435,111.9606,1.22,71,23,8.66,RU,1619487032
Lata,40.1629,-8.3327,15.0,89,64,0.63,PT,1619487033
Havøysund,70.9963,24.6622,-3.0,86,75,1.03,NO,1619487033
Grindavik,63.8424,-22.4338,6.0,93,75,2.06,IS,1619487033
Mayskiy,47.6931,40.1025,6.0,87,40,6.0,RU,1619487033
Flinders,-34.5833,150.8552,22.22,63,2,1.79,AU,1619487033
Mackay,-21.15,149.2,24.44,73,100,8.23,AU,1619486879
Kem',64.9555,34.5793,-1.33,80,58,4.74,RU,1619487033
Port Elizabeth,-33.918,25.5701,17.0,88,0,8.23,ZA,1619487006
Harper,4.375,-7.7169,26.64,84,41,2.94,LR,1619487034
Dolores,-36.3132,-57.6792,10.53,86,0,1.61,AR,1619487034
Johi,26.6921,67.6133,30.77,23,0,3.65,PK,1619487034
Codrington,-38.2667,141.9667,16.53,59,93,1.66,AU,1619487034
Atasū,48.6814,71.6433,13.73,41,95,2.81,KZ,1619487034
Sinnamary,5.3833,-52.95,25.1,90,100,4.78,GF,1619487034
Gardner,42.5751,-71.9981,6.67,40,36,3.93,US,1619487034
Dalnerechensk,45.9339,133.7225,15.13,39,100,5.56,RU,1619487034
Roald,62.5833,6.1333,3.0,75,100,7.2,NO,1619487035
Los Llanos de Aridane,28.6585,-17.9182,19.0,77,75,2.06,ES,1619487035
Olavarría,-36.8927,-60.3225,11.36,86,0,1.58,AR,1619487035
Wattegama,6.7989,81.4808,26.0,100,20,0.51,LK,1619486768
Ribeira Grande,38.5167,-28.7,15.88,84,100,1.4,PT,1619487035
Tulagi,-9.0996,160.1476,28.31,73,99,2.65,SB,1619487035
Sur,22.5667,59.5289,29.27,38,16,2.59,OM,1619487035
Sukhumi,43.0033,41.0153,10.75,96,100,2.26,GE,1619487035
Chara,56.9064,118.2631,-3.57,79,100,4.59,RU,1619487035
Klaksvík,62.2266,-6.589,4.0,81,75,10.29,FO,1619487036
Cayenne,4.9333,-52.3333,24.44,100,75,1.03,GF,1619486930
Honningsvåg,70.9821,25.9704,0.23,66,100,5.84,NO,1619487036
Half Moon Bay,37.4636,-122.4286,14.44,71,20,7.2,US,1619487036
Acayucan,17.95,-94.9167,26.13,74,0,5.36,MX,1619487036
Omboué,-1.5746,9.2618,25.58,89,100,1.83,GA,1619487036
Yangi Marg`ilon,40.4272,71.7189,16.0,51,0,4.12,UZ,1619487037
Hualmay,-11.0964,-77.6139,18.89,89,3,4.44,PE,1619487037
Port Macquarie,-31.4333,152.9167,23.33,55,1,0.89,AU,1619487037
Morgan City,29.6994,-91.2068,22.0,78,20,3.6,US,1619487037
Mocuba,-16.8392,36.9856,20.84,97,87,0.71,MZ,1619487037
Puerto Madero,14.7208,-92.4215,28.92,69,10,1.32,MX,1619487037
Garissa,-0.4536,39.6401,26.21,80,71,5.56,KE,1619487037
Grafton,42.207,-71.6856,9.0,31,1,3.6,US,1619487038
Hamilton,39.1834,-84.5333,20.0,55,1,3.14,US,1619487038
Giaveno,45.047,7.3492,10.0,95,100,0.84,IT,1619487038
Catuday,16.2923,119.8062,27.74,65,99,2.24,PH,1619487038
Duekoué,6.7472,-7.3496,22.93,95,32,1.38,CI,1619487038
Marawi,7.9986,124.2928,28.89,78,99,1.79,PH,1619487038
Saskylakh,71.9167,114.0833,-11.44,89,28,2.16,RU,1619487038
Alvinópolis,-20.1067,-43.0489,18.82,93,97,0.8,BR,1619487038
Mirandola,44.8868,11.0662,11.11,80,100,1.34,IT,1619487039
Kiama,-34.6833,150.8667,22.22,63,3,1.79,AU,1619487039
Fort Nelson,58.8053,-122.7002,-4.0,63,90,4.12,CA,1619487039
Oranjestad,12.524,-70.027,27.0,83,20,6.17,AW,1619487039
Katherine,-14.4667,132.2667,30.0,62,90,5.66,AU,1619487039
Japura,-0.3167,102.35,28.25,73,48,1.32,ID,1619487039
Milledgeville,33.0801,-83.2321,19.0,77,1,2.29,US,1619487039
Honiara,-9.4333,159.95,29.44,75,96,1.77,SB,1619487039
Umm Kaddadah,13.6017,26.6876,24.76,9,24,6.42,SD,1619487039
Tall Kayf,37.0833,41.0667,22.0,43,0,4.12,TR,1619487040
Aloleng,16.1307,119.7824,28.77,64,92,2.59,PH,1619487040
Sovetskaya Gavan',48.9723,140.2878,9.29,45,28,3.04,RU,1619487040
Canton of Neuchâtel,46.9167,6.8333,9.0,53,100,2.37,CH,1619487040
Alekseyevsk,57.8406,108.3492,-2.71,63,100,3.95,RU,1619487040
Havre-St-Pierre,50.2334,-63.5986,6.0,100,90,7.72,CA,1619487040
Souillac,-20.5167,57.5167,24.0,94,75,3.6,MU,1619487040
Florø,61.5996,5.0328,5.0,75,75,3.09,NO,1619487040
Brunsbüttel,53.9,9.15,3.0,65,16,2.57,DE,1619487040
Plettenberg Bay,-34.0527,23.3716,15.26,90,11,1.18,ZA,1619487041
Thouars,46.976,-0.2151,10.0,57,69,4.36,FR,1619487041
Labuhan,-6.8844,112.2051,28.15,74,33,2.8,ID,1619487041
Vila Velha,-20.3297,-40.2925,26.0,83,75,2.06,BR,1619487041
Pacifica,37.6138,-122.4869,13.33,71,20,7.2,US,1619487041
Bariloche,-41.1456,-71.3082,12.22,52,0,2.57,AR,1619487002
Vostok,46.4856,135.8833,14.57,26,100,2.21,RU,1619487041
Pervomayskoye,43.919,46.7102,10.73,82,100,5.08,RU,1619487041
Vallenar,-28.5708,-70.7581,15.98,72,0,0.95,CL,1619487042
Shatsk,54.0258,41.7119,4.24,85,100,6.33,RU,1619487042
Sambava,-14.2667,50.1667,23.26,91,55,3.74,MG,1619487042
Acaraú,-2.8856,-40.12,25.58,83,93,3.78,BR,1619487042
Vila Franca do Campo,37.7167,-25.4333,15.0,82,75,4.63,PT,1619487042
Namatanai,-3.6667,152.4333,29.56,69,40,1.46,PG,1619487042
Qujing,25.4833,103.7833,15.64,74,100,2.72,CN,1619487042
Teknāf,20.8624,92.3058,29.16,69,50,1.07,BD,1619487042
Dunedin,-45.8742,170.5036,8.33,72,99,6.26,NZ,1619487043
Kadambūr,8.9833,77.8667,26.0,89,20,2.65,IN,1619487043
Torbay,47.6666,-52.7314,6.11,93,90,11.83,CA,1619487043
Roseburg,43.2165,-123.3417,13.0,50,40,1.54,US,1619487043
San-Pédro,4.7485,-6.6363,26.21,89,86,2.79,CI,1619487043
Faanui,-16.4833,-151.75,27.36,68,69,2.18,PF,1619487043
Esperance,-33.8667,121.9,24.0,27,100,7.72,AU,1619487043
Saint-François,46.4154,3.9054,6.67,100,0,1.03,FR,1619487044
Urengoy,65.9667,78.3667,0.37,98,99,6.2,RU,1619487044
Mackenzie,55.2999,-123.1698,15.0,18,40,3.6,CA,1619487044
Fukuechō,32.6881,128.8419,18.0,88,75,7.72,JP,1619487044
Narsaq,60.9167,-46.05,3.0,87,75,1.03,GL,1619487044
Tiksi,71.6872,128.8694,-8.44,86,100,4.85,RU,1619487044
