City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hithadhoo,-0.6,73.0833,28.04,61,4,1.32,MV,1619487002
Mauá,-23.6678,-46.4614,18.89,81,88,1.95,BR,1619487044
Bereda,43.2686,-7.5406,10.56,100,81,1.79,ES,1619487044
Naze,28.3667,129.4833,23.0,60,20,4.63,JP,1619487041
College,64.8569,-147.8028,12.78,35,20,8.75,US,1619487045
Eureka,40.8021,-124.1637,12.78,71,1,5.14,US,1619487045
Tyret’ Pervaya,53.6703,102.3106,1.99,75,98,4.65,RU,1619487045
Serabu,7.7958,-12.0536,24.15,93,37,1.04,SL,1619487045
Namwala,-15.7504,26.4384,15.81,88,7,0.46,ZM,1619487045
Eskişehir,39.7767,30.5206,0.0,100,0,0.51,TR,1619487045
Srednekolymsk,67.45,153.6833,-2.02,77,67,2.49,RU,1619487045
Shimoda,34.6667,138.95,16.0,63,40,2.57,JP,1619487046
Lamovita,44.9256,16.9072,8.33,93,100,1.54,BA,1619487046
São Paulo de Olivença,-3.3783,-68.8725,23.18,98,100,1.45,BR,1619487046
Ugoofaaru,5.6667,73.0,28.7,71,94,3.22,MV,1619487046
Çumra,37.5732,32.7745,7.0,76,0,1.03,TR,1619487046
Khovd,48.0056,91.6419,5.01,22,20,0.72,MN,1619487046
Masallātah,32.6167,14.0,23.21,23,15,10.75,LY,1619487046
Kieta,-6.2167,155.6333,29.56,71,81,1.39,PG,1619487046
Banda Aceh,5.5577,95.3222,28.72,71,61,0.29,ID,1619487047
Bara,10.3744,10.7288,27.33,54,12,3.17,NG,1619487047
Pangnirtung,66.1451,-65.7125,1.13,97,100,1.55,CA,1619487047
Mwense,-10.3845,28.698,18.01,93,100,1.44,ZM,1619487047
Portales,34.1862,-103.3344,26.0,4,1,9.77,US,1619487047
Cherskiy,68.75,161.3,-3.77,76,51,2.94,RU,1619487047
Khatanga,71.9667,102.5,-4.81,91,100,8.11,RU,1619487048
Ciudad Bolivar,8.1222,-63.5497,29.9,51,97,6.27,VE,1619487048
Portland,45.5234,-122.6762,14.44,51,75,3.6,US,1619487048
Reconquista,-29.15,-59.65,13.37,80,0,1.69,AR,1619487048
Meulaboh,4.1363,96.1285,26.89,81,97,1.38,ID,1619487048
Thinadhoo,0.5333,72.9333,27.86,65,15,1.54,MV,1619487049
Doka,13.5167,35.7667,25.34,58,99,3.34,SD,1619487049
Kalianget,-7.05,113.9333,28.89,70,35,5.58,ID,1619487049
Bukachacha,52.9833,116.9167,5.25,63,92,4.88,RU,1619487049
Tautira,-17.7333,-149.15,31.0,58,40,2.57,PF,1619487049
Hambantota,6.1241,81.1185,26.0,100,20,0.51,LK,1619487049
Arraial do Cabo,-22.9661,-42.0278,23.83,78,100,1.42,BR,1619487049
Stornoway,58.2093,-6.3865,8.0,87,90,8.23,GB,1619487050
Touros,-5.1989,-35.4608,25.0,88,40,2.06,BR,1619487050
Aswān,24.0934,32.907,23.13,29,0,5.64,EG,1619487050
Lumsden,50.6501,-104.8678,11.0,43,20,4.12,CA,1619487051
Upernavik,72.7868,-56.1549,0.48,75,100,2.01,GL,1619487051
São José da Coroa Grande,-8.8978,-35.1478,25.37,81,46,2.75,BR,1619487051
Darhan,49.4867,105.9228,6.55,39,91,6.02,MN,1619487051
Kizema,61.113,44.8302,3.15,96,100,1.93,RU,1619487051
Jesús del Monte,19.1081,-99.9944,18.0,52,75,2.06,MX,1619487051
Xichang,27.8964,102.2634,21.05,47,84,0.74,CN,1619487051
La Santisima Trinidad,-14.8333,-64.9,18.31,82,60,1.73,BO,1619487051
Acapulco de Juárez,16.8634,-99.8901,28.0,74,90,2.57,MX,1619487051
Puerto Escondido,15.85,-97.0667,29.0,70,40,2.06,MX,1619487052
Saint-Joseph,-21.3667,55.6167,24.44,83,90,10.8,RE,1619487052
Álamos,27.0167,-108.9333,25.0,65,100,2.42,MX,1619487052
Kousséri,12.0769,15.0306,29.0,34,9,1.54,CM,1619487052
Praia,14.9215,-23.5087,21.0,78,75,6.17,CV,1619487022
Kaiu,59.0129,25.0551,3.0,93,90,1.54,EE,1619487052
La Seyne-sur-Mer,43.0982,5.8847,16.11,57,93,5.36,FR,1619487052
Berlevåg,70.8578,29.0864,-0.66,64,100,5.14,NO,1619487052
Kapuskasing,49.4169,-82.4331,6.0,36,100,2.06,CA,1619487053
Daru,-9.0763,143.2092,29.32,71,71,1.72,PG,1619487053
Bathsheba,13.2167,-59.5167,26.0,65,20,6.17,BB,1619487053
Piopio,-38.4667,175.0167,15.56,88,99,0.45,NZ,1619487053
Valladolid,41.5833,-4.6667,8.89,93,0,1.03,ES,1619487053
Upata,8.0086,-62.3989,24.06,68,89,2.65,VE,1619487053
Paragominas,-2.9667,-47.4833,22.13,98,85,1.36,BR,1619487053
Mahon,39.8885,4.2658,13.0,88,20,4.12,ES,1619487053
Magugu,-4.0167,35.7667,19.06,84,99,1.14,TZ,1619487054
Torzhok,57.0436,34.9622,-1.67,89,16,2.02,RU,1619487054
Masuguru,-11.3667,38.4167,21.24,98,64,0.8,TZ,1619487054
Wukari,7.85,9.7833,24.29,71,91,2.06,NG,1619487054
Bukama,-9.2,25.85,20.57,97,100,1.37,CD,1619487054
Cananéia,-25.0147,-47.9267,20.67,89,98,1.36,BR,1619487054
Ajdabiya,30.7554,20.2263,17.89,49,53,3.43,LY,1619487054
Chiang Rai,19.9167,99.9167,27.78,100,40,2.06,TH,1619487054
Avarua,-21.2078,-159.775,28.0,69,40,2.06,CK,1619487054
Manokwari,-0.8667,134.0833,28.82,68,61,2.89,ID,1619487055
Palora,-1.7,-77.9333,19.67,97,95,1.02,EC,1619487055
Aasiaat,68.7098,-52.8699,-0.07,96,94,6.81,GL,1619487055
Nouadhibou,20.931,-17.0347,19.0,82,0,6.17,MR,1619487055
Pangai,-19.8,-174.35,25.0,88,90,2.57,TO,1619487055
Zlobin,45.2924,14.6541,11.0,87,20,2.57,HR,1619487055
Umeå,63.8284,20.2597,-1.0,80,0,2.11,SE,1619487055
Murdochville,48.9583,-65.5006,3.0,100,100,1.03,CA,1619487055
Pontianak,-0.0333,109.3333,26.0,94,20,1.54,ID,1619487056
Vawkavysk,53.1561,24.4513,-2.73,93,12,2.95,BY,1619487056
Saint-Pierre,-21.3393,55.4781,24.44,83,90,10.8,RE,1619487008
Mossamedes,-15.1961,12.1522,23.41,74,4,3.34,AO,1619487056
Fairbanks,64.8378,-147.7164,12.78,30,1,6.69,US,1619487056
Cabra,37.4725,-4.4421,13.0,100,20,1.54,ES,1619487056
Gopālpur,19.2667,84.9167,29.21,65,0,5.83,IN,1619487056
Siuna,13.7332,-84.7773,23.81,64,47,2.41,NI,1619487056
Cockburn Town,21.4612,-71.1419,25.81,74,3,6.55,TC,1619487057
Gunnedah,-30.9833,150.25,21.67,59,0,0.45,AU,1619487057
Pingxiang,27.6167,113.85,15.92,95,100,1.51,CN,1619486981
Masvingo,-20.0637,30.8277,16.55,51,22,1.57,ZW,1619487057
Aconibe,1.2968,10.9369,20.06,99,100,0.7,GQ,1619487057
Sibolga,1.7427,98.7792,26.95,80,99,0.61,ID,1619487057
Druzhba,52.0428,33.9453,-0.67,79,88,2.84,UA,1619487057
Mujiayingzi,42.1167,118.7833,12.04,28,6,5.77,CN,1619487057
Howard Springs,-12.497,131.047,31.11,62,20,4.63,AU,1619487058
Bayog,7.8667,123.0667,29.25,74,100,1.1,PH,1619487058
Waingapu,-9.6567,120.2641,28.01,54,7,4.19,ID,1619487058
Mamou,10.5,-12.0,23.32,76,100,1.06,GN,1619487058
Lebanon,36.2081,-86.2911,18.0,63,1,1.54,US,1619486976
Ambilobe,-13.2,49.05,21.17,94,11,1.53,MG,1619487058
Angoche,-16.2325,39.9086,24.41,89,100,2.6,MZ,1619487058
Karaton,-6.3424,106.1045,30.56,74,20,4.12,ID,1619487058
Hudiksvall,61.729,17.1036,0.04,67,100,1.68,SE,1619487059
Jiuquan,39.7432,98.5174,5.98,18,100,1.47,CN,1619486949
Tura,25.5198,90.2201,30.55,34,94,3.54,IN,1619487059
Saldanha,-33.0117,17.9442,17.0,88,10,2.57,ZA,1619487059
Hasaki,35.7333,140.8333,17.78,51,40,3.09,JP,1619487057
Egvekinot,66.3167,-179.1667,-3.36,93,84,1.55,RU,1619487059
San Quintín,30.4833,-115.95,13.88,75,100,3.57,MX,1619487059
Lake Charles,30.2131,-93.2044,22.0,78,40,4.63,US,1619487059
Ormara,25.2088,64.6357,26.92,77,4,3.01,PK,1619487059
Nyurba,63.2842,118.3319,-5.68,65,100,4.64,RU,1619487060
Leningradskiy,69.3833,178.4167,-0.03,86,93,1.74,RU,1619487060
Priiskovyy,51.9333,116.6333,2.6,83,100,7.07,RU,1619487060
Mingguang,32.7802,117.9638,19.68,71,100,2.62,CN,1619487060
Jati,24.3539,68.2671,26.89,64,0,3.81,PK,1619487060
Ingham,42.6,-84.3833,11.0,50,1,5.66,US,1619487060
Dingle,10.9995,122.6711,30.15,57,33,4.66,PH,1619487060
Choix,26.7092,-108.3219,26.98,20,100,3.74,MX,1619487060
Port Hedland,-20.3167,118.5667,30.0,16,0,7.2,AU,1619487060
Vilhena,-12.7406,-60.1458,18.82,90,26,1.3,BR,1619487061
Aketi,2.7388,23.7833,20.62,90,41,0.82,CD,1619487061
Arman',59.7,150.1667,-3.48,71,45,1.8,RU,1619487061
Zaysan,47.4667,84.8667,11.77,36,89,0.18,KZ,1619487061
Vestmannaeyjar,63.4427,-20.2734,6.88,88,41,4.22,IS,1619487061
Santa Maria,-29.6842,-53.8069,11.0,100,0,0.51,BR,1619487061
Alice Springs,-23.7,133.8833,23.33,26,0,7.72,AU,1619487008
Manaure,11.7751,-72.4445,26.72,72,80,7.41,CO,1619487061
Kamaishi,39.2667,141.8833,11.0,37,0,1.54,JP,1619486818
Quryq,43.2,51.65,12.49,85,78,4.65,KZ,1619487062
Prince Rupert,54.3161,-130.3201,13.0,47,1,2.06,CA,1619487062
Erdenet,49.0333,104.0833,3.26,34,9,7.02,MN,1619487062
Santa Inês,-3.6667,-45.38,23.2,97,88,1.36,BR,1619487062
Surat,21.1667,72.8333,29.0,84,20,4.12,IN,1619486954
Anadyr,64.75,177.4833,-1.0,93,0,2.0,RU,1619487062
Ingrāj Bāzār,25.0,88.15,33.63,9,29,2.81,IN,1619487062
Korla,41.7597,86.1469,15.13,24,73,2.23,CN,1619487062
Sakakah,29.9697,40.2064,20.0,32,0,5.14,SA,1619487063
Birao,10.2849,22.7882,26.52,38,11,1.32,CF,1619487063
Taoudenni,22.6783,-3.9836,31.32,14,9,4.64,ML,1619487063
Yukamenskoye,57.8865,52.2416,0.33,88,2,3.7,RU,1619487063
Shestakovo,56.4915,103.96,-0.2,59,76,3.56,RU,1619487063
Singaraja,-8.112,115.0882,29.46,63,66,1.13,ID,1619487063
Zhigansk,66.7697,123.3711,-8.03,84,100,6.92,RU,1619487063
Killarney,52.05,-9.5167,6.54,93,19,1.68,IE,1619487063
Petropavlovsk-Kamchatskiy,53.0452,158.6483,1.0,100,90,2.0,RU,1619487064
Kāzerūn,29.6195,51.6541,21.92,22,76,2.06,IR,1619487064
Te Anau,-45.4167,167.7167,6.99,68,50,1.07,NZ,1619487064
Ørje,59.4802,11.6602,0.0,82,3,1.38,NO,1619487064
Awjilah,29.1081,21.2869,19.22,33,1,2.06,LY,1619487064
Palmeiras de Goiás,-16.805,-49.9258,23.29,49,100,0.79,BR,1619487064
Bulgan,48.8125,103.5347,4.12,35,4,6.92,MN,1619487064
Sørland,67.667,12.6934,2.77,56,37,7.53,NO,1619487064
Morant Bay,17.8815,-76.4093,27.0,78,40,1.54,JM,1619487065
Zilair,52.2332,57.4392,5.17,68,100,5.59,RU,1619487065
Westport,41.1415,-73.3579,12.0,28,1,4.63,US,1619487065
Cairns,-16.9167,145.7667,26.11,78,90,5.66,AU,1619486951
Ayan,56.45,138.1667,-0.36,89,100,3.73,RU,1619487065
Acajutla,13.5928,-89.8275,23.33,96,16,1.72,SV,1619487065
Osinovo,55.8809,48.881,-2.0,74,0,3.0,RU,1619487065
Bengkulu,-3.8004,102.2655,27.87,69,35,0.49,ID,1619487065
Sittwe,20.15,92.9,29.02,68,30,2.17,MM,1619487065
Mtwara,-10.2667,40.1833,23.5,94,94,3.05,TZ,1619487066
Mae Hong Son,19.3003,97.9685,24.0,88,75,1.54,TH,1619487066
Eyl,7.9803,49.8164,27.79,75,84,1.25,SO,1619487066
Mirny,62.5353,113.9611,-6.67,63,70,4.6,RU,1619487066
Kruisfontein,-34.0033,24.7314,16.67,88,64,3.14,ZA,1619487066
Paamiut,61.994,-49.6678,1.5,88,9,1.39,GL,1619487066
Zinder,13.8072,8.9881,28.45,11,0,4.22,NE,1619487066
San Juan,-31.5375,-68.5364,19.5,47,0,2.51,AR,1619487066
Todos Santos,23.45,-110.2167,17.78,85,94,3.58,MX,1619487066
Bela Vista,-22.1089,-56.5211,14.61,64,0,2.04,BR,1619487067
Mátranovák,48.0381,19.9826,1.0,89,17,1.34,HU,1619487067
Kasempa,-13.4584,25.8338,17.16,86,99,1.66,ZM,1619487067
Río Cuarto,-33.1307,-64.3499,15.0,72,0,3.6,AR,1619487067
Elesbão Veloso,-6.2019,-42.1403,25.21,76,100,0.92,BR,1619487067
Port Blair,11.6667,92.75,28.76,67,97,1.59,IN,1619487067
Qaqortoq,60.7167,-46.0333,3.0,87,75,1.03,GL,1619487067
Wewak,-3.5534,143.6268,28.58,76,18,1.45,PG,1619487067
Omsukchan,62.5333,155.8,-4.82,70,6,2.14,RU,1619487067
Sherpur,25.0188,90.0175,30.64,41,93,6.14,BD,1619487068
Ulaanbaatar,47.9077,106.8832,0.0,59,40,9.0,MN,1619486932
Khunti,23.0833,85.2833,23.0,46,40,0.91,IN,1619487068
Davila,18.4726,120.5763,30.0,58,75,1.03,PH,1619487068
Nadym,65.5333,72.5167,1.19,98,100,6.64,RU,1619487069
Kavaratti,10.5669,72.642,29.12,72,7,3.38,IN,1619487069
Vostochnyy,55.8167,37.8667,4.44,75,0,1.66,RU,1619487069
Ati,13.2154,18.3353,29.22,8,91,6.68,TD,1619487069
Makubetsu,45.3714,141.8211,10.0,62,40,8.23,JP,1619486793
Tignère,7.3667,12.65,21.98,54,90,0.92,CM,1619487069
Jinka,5.65,36.65,15.72,95,100,1.3,ET,1619487070
Diapaga,12.0708,1.7889,31.27,37,92,2.0,BF,1619487070
Pisco,-13.7,-76.2167,18.33,92,3,5.81,PE,1619487070
Beatrice,40.2681,-96.747,26.0,50,1,6.69,US,1619487070
Talalayivka,50.9578,31.9209,1.2,95,100,2.67,UA,1619487070
Fairfield,41.2668,-73.3162,12.0,30,1,3.09,US,1619487070
Benalla,-36.55,145.9833,17.0,51,0,1.03,AU,1619487070
Brody,50.0879,25.1503,0.59,67,100,0.55,UA,1619487070
Cocobeach,1.0002,9.5823,27.0,94,75,2.57,GA,1619487070
Yingkou,40.6648,122.2283,10.43,92,100,6.45,CN,1619487071
Rome,43.2128,-75.4557,3.33,44,1,2.06,US,1619487071
Malpe,13.35,74.7167,26.0,78,20,1.54,IN,1619487071
Tanete,-3.9443,119.7848,30.81,60,15,3.76,ID,1619487071
Shelburne,44.0787,-80.2041,6.67,49,100,2.59,CA,1619487071
Arlit,18.7369,7.3853,31.25,10,69,3.3,NE,1619487071
Santa Rosa,14.3122,121.1114,29.44,69,85,4.47,PH,1619487071
Poum,-20.2333,164.0167,24.94,68,35,9.68,NC,1619487072
Siirt,37.9326,41.9403,15.25,62,73,0.71,TR,1619487072
Broken Hill,-31.95,141.4333,19.0,37,4,3.09,AU,1619487072
Otavi,-19.65,17.3333,16.64,38,5,2.06,NA,1619487011
Kandrian,-6.2167,149.55,28.89,75,29,1.98,PG,1619487072
Sumbe,-11.2061,13.8437,25.51,86,19,1.95,AO,1619487072
Tsumeb,-19.2333,17.7167,17.54,36,5,2.81,NA,1619487004
Storebø,60.0948,5.2271,5.56,87,40,1.03,NO,1619487072
Gunjur,13.2019,-16.7339,20.0,88,0,2.57,GM,1619487072
Petropavlovka,50.6114,105.3196,5.33,48,39,5.76,RU,1619487073
Zonguldak,41.25,31.8333,2.25,88,0,2.4,TR,1619487073
Itacarambi,-15.1022,-44.0919,22.17,83,70,1.57,BR,1619487073
Bandarbeyla,9.4942,50.8122,27.93,73,57,2.34,SO,1619487073
Mincivan,39.0294,46.7185,16.62,74,81,0.97,AZ,1619487073
Ambulu,-8.345,113.6058,28.47,68,49,2.18,ID,1619487073
Ucluelet,48.9329,-125.5528,12.78,71,40,3.09,CA,1619487073
Bud,39.447,-86.1758,22.0,32,75,6.17,US,1619487073
Capoterra,39.1763,8.9718,16.11,94,40,1.03,IT,1619487073
Beyneu,45.3167,55.2,21.25,42,100,2.74,KZ,1619487074
Amurrio,43.05,-3.0,14.0,100,75,0.51,ES,1619487074
Makkah al Mukarramah,21.4267,39.8261,27.43,46,0,0.98,SA,1619487074
Port Hardy,50.6996,-127.4199,12.0,76,75,3.09,CA,1619487074
Balīlā,32.3881,35.9351,13.0,76,40,3.09,JO,1619487074
Mahon,39.8885,4.2658,13.0,88,20,4.12,ES,1619487053
Byron Bay,-28.65,153.6167,22.0,64,40,5.66,AU,1619486844
Mount Isa,-20.7333,139.5,30.0,37,24,6.17,AU,1619487074
Ilulissat,69.2167,-51.1,8.0,46,20,6.17,GL,1619487075
Russell,32.3502,-85.1999,23.0,77,1,2.2,US,1619487075
Marsá Maţrūḩ,31.3525,27.2453,13.0,82,0,2.57,EG,1619487075
Gamba,-2.65,10.0,25.23,90,99,2.23,GA,1619487075
San Cristobal,7.7669,-72.225,28.0,78,40,2.06,VE,1619487075
Soubre,5.7856,-6.6083,23.68,96,42,0.82,CI,1619487075
Jega,12.2175,4.3792,29.44,40,9,2.08,NG,1619487075
Kyra,49.5776,111.9753,3.32,38,87,11.17,RU,1619487076
Novobureyskiy,49.798,129.8774,15.82,34,100,8.13,RU,1619487076
Karratha,-20.7377,116.8463,29.73,18,0,6.68,AU,1619487052
Waupun,43.6333,-88.7296,13.0,58,75,3.09,US,1619487076
Nova Olinda do Norte,-3.8881,-59.0942,22.72,98,100,0.54,BR,1619487076
Vágur,61.4732,-6.8119,4.96,74,100,10.95,FO,1619487076
El Alto,-4.2714,-81.2147,21.1,76,99,3.57,PE,1619487076
Mapimí,25.8167,-103.85,33.0,7,75,1.71,MX,1619487076
Darnah,32.767,22.6367,15.86,64,71,3.01,LY,1619487077
Moose Factory,51.2585,-80.6094,7.0,42,1,3.6,CA,1619487077
Gorontalo,0.5412,123.0595,31.07,63,15,2.01,ID,1619487077
Paracatu,-17.2222,-46.8747,21.26,65,26,1.49,BR,1619487077
Gbadolite,4.2833,21.0167,21.29,93,18,1.04,CD,1619487077
Severnyy,50.677,36.5532,0.0,93,0,5.0,RU,1619487077
Nicoya,10.1483,-85.452,28.0,57,0,9.26,CR,1619487077
Rosarito,32.3333,-117.0333,16.0,72,75,4.63,MX,1619487078
Bukoba,-1.3317,31.8122,17.13,86,18,1.62,TZ,1619487078
Gillette,44.2911,-105.5022,8.0,76,90,5.14,US,1619487078
Nemuro,43.3236,145.575,10.0,37,20,6.69,JP,1619486807
Jackson,42.4165,-122.8345,14.44,41,90,3.6,US,1619487078
Den Helder,52.9599,4.7593,5.0,81,90,4.63,NL,1619487078
Manta,-0.95,-80.7333,25.0,83,0,3.09,EC,1619487078
Fort Abbas,29.1925,72.8536,30.99,6,0,2.63,PK,1619487078
Pangody,65.85,74.4859,0.8,98,100,7.96,RU,1619487079
Mundo Nuevo (Ojo de Agua),18.7,-95.5,26.76,78,0,7.45,MX,1619487079
Wanlaweyn,2.6185,44.8938,26.22,81,75,1.76,SO,1619487079
San Isidro,-12.1167,-77.05,18.0,82,40,6.17,PE,1619487079
Ancud,-41.8697,-73.8203,12.78,100,90,2.57,CL,1619487079
Tilichiki,60.4667,166.1,-0.56,99,100,0.51,RU,1619487079
Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,6.6,60,15,3.11,RU,1619487079
Malindi,-3.2175,40.1191,26.23,85,98,4.55,KE,1619487079
Aljezur,37.3191,-8.8033,14.21,92,78,1.74,PT,1619487079
Svetlaya,46.5389,138.3297,8.34,48,16,2.24,RU,1619486896
Usinsk,65.9939,57.5281,1.91,98,100,4.48,RU,1619487080
Biak,-0.9131,122.8766,28.45,66,29,1.61,ID,1619487080
Erenhot,43.6475,111.9767,5.65,27,100,8.91,CN,1619487080
Kholm,59.2667,32.85,1.06,99,100,1.19,RU,1619487080
Luoyang,34.6836,112.4536,19.88,48,27,2.53,CN,1619486819
Marzuq,14.4,46.4667,21.74,60,97,0.67,YE,1619487080
Provincia di Verona,45.4167,11.0333,12.22,82,75,1.54,IT,1619487080
Gaozhou,21.9392,110.8461,23.47,91,100,0.75,CN,1619487080
Ibaté,-21.9547,-47.9967,21.0,83,0,3.6,BR,1619487081
Ossora,59.2353,163.0719,0.43,98,100,1.81,RU,1619487081
Muravlenko,63.7898,74.523,0.9,92,98,5.27,RU,1619487081
Udachny,66.4167,112.4,-8.93,83,91,7.07,RU,1619487081
Kabalo,-6.05,26.9167,20.93,96,100,1.27,CD,1619487081
Batagay-Alyta,67.8006,130.4114,-5.33,93,100,5.81,RU,1619487081
Aksha,50.2814,113.2867,4.37,42,27,10.47,RU,1619487081
Moroni,-11.7022,43.2551,25.79,76,86,1.31,KM,1619487081
Nampula,-15.1165,39.2666,22.78,94,75,1.54,MZ,1619487081
Xicoténcatl,23.0167,-98.8833,27.78,60,80,3.13,MX,1619487082
Wagar,16.1525,36.2032,30.59,38,92,2.82,SD,1619487082
Meyzieu,45.7667,5.0,13.0,71,0,1.03,FR,1619487082
Kayes,14.0,-11.0,34.06,28,65,3.16,ML,1619487082
Kovylkino,54.0388,43.9139,4.84,77,83,5.2,RU,1619487082
Ozernovskiy,51.5,156.5167,1.09,98,100,5.36,RU,1619487082
St. Pete Beach,27.7253,-82.7412,27.22,57,1,8.23,US,1619487082
Kālānwāli,29.85,74.95,30.46,13,0,2.34,IN,1619487083
Muros,42.7762,-9.0603,11.67,91,20,0.45,ES,1619487083
Witbank,-25.8713,29.2332,9.77,21,30,1.36,ZA,1619487083
Amahai,-3.3333,128.9167,29.14,61,3,1.49,ID,1619487083
Salinas,36.6777,-121.6555,15.0,55,1,7.2,US,1619486972
Simao,22.7886,100.9748,26.7,45,8,1.34,CN,1619487083
Poyarkovo,49.6,128.6833,16.12,36,100,8.54,RU,1619487083
Pochutla,15.7432,-96.4661,28.89,77,8,0.89,MX,1619487083
